Purchase_List,Purchase_Area,Path_List,WayBack_List
"[6, 5, 4, 1]","[SA9, SA3, SA5, SA2]","[R0, R0, R8, R9, SA8, SA9, SA9, SA8, R9, R8, SA3, SA3, SA2, R3, SA5]","[SA2, SA2, SA3, R8, R0]"
"[1, 4, 8]","[SA2, SA5, SA6]","[R0, R0, R8, SA3, SA2, SA2, R3, SA5, SA5, R4, SA6]","[SA6, SA6, R5, SA7, R7, R8, R0]"
"[9, 7, 4, 3]","[SA4, SA2, SA5, SA1]","[R0, R0, R8, R7, SA4, SA4, R3, SA2, SA2, R3, SA5, SA5, R3, SA2, R2, SA1]","[SA1, SA1, R1, R0]"
"[4, 5, 7, 9, 10]","[SA5, SA3, SA2, SA4, SA8]","[R0, R0, R8, SA3, SA2, R3, SA5]","[SA8, SA8, R9, R8, R0]"
"[10, 7, 6]","[SA8, SA2, SA9]","[R0, R0, R8, R9, SA8, SA8, R9, R8, SA3, SA2, SA2, SA3, R8, R9, SA8, SA9]","[SA9, SA9, SA8, R9, R8, R0]"
"[8, 4, 3]","[SA6, SA5, SA1]","[R0, R0, R8, R7, SA7, R5, SA6, SA6, R4, SA5, SA5, R3, SA2, R2, SA1]","[SA1, SA1, R1, R0]"
"[1, 5, 6]","[SA2, SA3, SA9]","[R0, R0, R8, SA3, SA2]","[SA9, SA9, SA8, R9, R8, R0]"
"[8, 3, 2]","[SA6, SA1, SA3]","[R0, R0, R8, R7, SA7, R5, SA6, SA6, R4, SA5, R3, SA2, R2, SA1, SA1, R1, R8, SA3]","[SA3, SA3, R8, R0]"
"[9, 8, 7, 6]","[SA4, SA6, SA2, SA9]","[R0, R0, R8, R7, SA4, SA4, R3, SA5, R4, SA6, SA6, R4, SA5, R3, SA2, SA2, SA3, R8, R9, SA8, SA9]","[SA9, SA9, SA8, R9, R8, R0]"
"[1, 2, 4, 8, 8, 10]","[SA2, SA3, SA5, SA6, SA6, SA8]","[R0, R0, R8, SA3, SA2]","[SA8, SA8, R9, R8, R0]"
"[2, 9, 10]","[SA3, SA4, SA8]","[R0, R0, R8, SA3, SA3, R8, R7, SA4, SA4, R7, R9, SA8]","[SA8, SA8, R9, R8, R0]"
"[5, 6, 4, 7]","[SA3, SA9, SA5, SA2]","[R0, R0, R8, SA3, SA3, R8, R9, SA8, SA9, SA9, SA8, R9, R7, SA4, R3, SA5, SA5, R3, SA2]","[SA2, SA2, SA3, R8, R0]"
"[2, 6, 8, 9, 10]","[SA3, SA9, SA6, SA4, SA8]","[R0, R0, R8, SA3, SA3, R8, R9, SA8, SA9, SA9, SA8, R6, SA7, R5, SA6, SA6, R4, SA5, R3, SA4]","[SA8, SA8, R9, R8, R0]"
"[5, 8, 10]","[SA3, SA6, SA8]","[R0, R0, R8, SA3, SA3, R8, R7, SA7, R5, SA6, SA6, R5, SA7, R6, SA8]","[SA8, SA8, R9, R8, R0]"
"[1, 3, 5, 6, 10]","[SA2, SA1, SA3, SA9, SA8]","[R0, R0, R8, SA3, SA2, SA2, R2, SA1]","[SA8, SA8, R9, R8, R0]"
"[1, 3]","[SA2, SA1]","[R0, R0, R8, SA3, SA2, SA2, R2, SA1]","[SA1, SA1, R1, R0]"
"[4, 6, 8]","[SA5, SA9, SA6]","[R0, R0, R8, SA3, SA2, R3, SA5, SA5, R3, SA4, R7, R9, SA8, SA9, SA9, SA8, R6, SA7, R5, SA6]","[SA6, SA6, R5, SA7, R7, R8, R0]"
"[7, 8, 10]","[SA2, SA6, SA8]","[R0, R0, R8, SA3, SA2, SA2, R3, SA5, R4, SA6, SA6, R5, SA7, R6, SA8]","[SA8, SA8, R9, R8, R0]"
"[3, 4, 7, 10]","[SA1, SA5, SA2, SA8]","[R0, R0, R1, SA1, SA1, R2, SA2, R3, SA5]","[SA8, SA8, R9, R8, R0]"
"[10, 7, 4, 2]","[SA8, SA2, SA5, SA3]","[R0, R0, R8, R9, SA8, SA8, R9, R8, SA3, SA2, SA2, R3, SA5]","[SA3, SA3, R8, R0]"
"[1, 4, 5, 6]","[SA2, SA5, SA3, SA9]","[R0, R0, R8, SA3, SA2, SA2, R3, SA5]","[SA9, SA9, SA8, R9, R8, R0]"
"[8, 7, 6, 4]","[SA6, SA2, SA9, SA5]","[R0, R0, R8, R7, SA7, R5, SA6, SA6, R4, SA5, R3, SA2, SA2, SA3, R8, R9, SA8, SA9]","[SA5, SA5, R3, SA4, R7, R8, R0]"
"[8, 7, 5, 3]","[SA6, SA2, SA3, SA1]","[R0, R0, R8, R7, SA7, R5, SA6, SA6, R4, SA5, R3, SA2, SA2, SA3, SA3, R8, R1, SA1]","[SA1, SA1, R1, R0]"
"[2, 3, 4, 8, 9]","[SA3, SA1, SA5, SA6, SA4]","[R0, R0, R8, SA3, SA3, R8, R1, SA1, SA1, R2, SA2, R3, SA5, SA5, R4, SA6, SA6, R4, SA5, R3, SA4]","[SA4, SA4, R7, R8, R0]"
"[10, 7, 6, 3, 2]","[SA8, SA2, SA9, SA1, SA3]","[R0, R0, R8, R9, SA8, SA8, R9, R8, SA3, SA2, SA2, SA3, R8, R9, SA8, SA9, SA9, SA8, R9, R8, R1, SA1]","[SA3, SA3, R8, R0]"
"[9, 8, 7, 6, 4, 2]","[SA4, SA6, SA2, SA9, SA5, SA3]","[R0, R0, R8, R7, SA4, SA4, R3, SA5, R4, SA6, SA6, R4, SA5, R3, SA2, SA2, SA3, R8, R9, SA8, SA9]","[SA3, SA3, R8, R0]"
"[2, 4]","[SA3, SA5]","[R0, R0, R8, SA3, SA3, SA2, R3, SA5]","[SA5, SA5, R3, SA4, R7, R8, R0]"
"[2, 6, 7, 8, 9]","[SA3, SA9, SA2, SA6, SA4]","[R0, R0, R8, SA3, SA3, R8, R9, SA8, SA9, SA9, SA8, R9, R8, SA3, SA2, SA2, R3, SA5, R4, SA6, SA6, R4, SA5, R3, SA4]","[SA4, SA4, R7, R8, R0]"
"[1, 4, 6]","[SA2, SA5, SA9]","[R0, R0, R8, SA3, SA2, SA2, R3, SA5, SA5, R3, SA4, R7, R9, SA8, SA9]","[SA9, SA9, SA8, R9, R8, R0]"
"[10, 8, 6, 3, 1]","[SA8, SA6, SA9, SA1, SA2]","[R0, R0, R8, R9, SA8, SA8, R6, SA7, R5, SA6, SA6, R5, SA7, R6, SA8, SA9, SA9, SA8, R9, R8, R1, SA1, SA1, R2, SA2]","[SA2, SA2, SA3, R8, R0]"
"[10, 2, 1]","[SA8, SA3, SA2]","[R0, R0, R8, R9, SA8, SA8, R9, R8, SA3, SA3, SA2]","[SA2, SA2, SA3, R8, R0]"
"[2, 6, 7, 9]","[SA3, SA9, SA2, SA4]","[R0, R0, R8, SA3, SA3, R8, R9, SA8, SA9, SA9, SA8, R9, R8, SA3, SA2, SA2, R3, SA4]","[SA4, SA4, R7, R8, R0]"
"[6, 5]","[SA9, SA3]","[R0, R0, R8, R9, SA8, SA9, SA9, SA8, R9, R8, SA3]","[SA3, SA3, R8, R0]"
"[5, 6, 7, 8, 10]","[SA3, SA9, SA2, SA6, SA8]","[R0, R0, R8, SA3, SA3, R8, R9, SA8, SA9, SA9, SA8, R9, R8, SA3, SA2, SA2, R3, SA5, R4, SA6]","[SA8, SA8, R9, R8, R0]"
"[9, 7]","[SA4, SA2]","[R0, R0, R8, R7, SA4, SA4, R3, SA2]","[SA2, SA2, SA3, R8, R0]"
"[7, 2]","[SA2, SA3]","[R0, R0, R8, SA3, SA2]","[SA3, SA3, R8, R0]"
"[1, 5, 6, 9]","[SA2, SA3, SA9, SA4]","[R0, R0, R8, SA3, SA2]","[SA4, SA4, R7, R8, R0]"
"[8, 3, 1]","[SA6, SA1, SA2]","[R0, R0, R8, R7, SA7, R5, SA6, SA6, R4, SA5, R3, SA2, R2, SA1]","[SA2, SA2, SA3, R8, R0]"
"[8, 4, 2]","[SA6, SA5, SA3]","[R0, R0, R8, R7, SA7, R5, SA6, SA6, R4, SA5, SA5, R3, SA2, SA3]","[SA3, SA3, R8, R0]"
"[2, 5, 7, 8, 10]","[SA3, SA3, SA2, SA6, SA8]","[R0, R0, R8, SA3]","[SA8, SA8, R9, R8, R0]"
"[10, 5]","[SA8, SA3]","[R0, R0, R8, R9, SA8, SA8, R9, R8, SA3]","[SA3, SA3, R8, R0]"
"[10, 7, 6, 3]","[SA8, SA2, SA9, SA1]","[R0, R0, R8, R9, SA8, SA8, R9, R8, SA3, SA2, SA2, SA3, R8, R9, SA8, SA9, SA9, SA8, R9, R8, R1, SA1]","[SA1, SA1, R1, R0]"
"[6, 3, 1]","[SA9, SA1, SA2]","[R0, R0, R8, R9, SA8, SA9, SA9, SA8, R9, R8, R1, SA1, SA1, R2, SA2]","[SA2, SA2, SA3, R8, R0]"
"[1, 2, 3, 4, 10]","[SA2, SA3, SA1, SA5, SA8]","[R0, R0, R8, SA3, SA2]","[SA8, SA8, R9, R8, R0]"
"[6, 7, 9, 10]","[SA9, SA2, SA4, SA8]","[R0, R0, R8, R9, SA8, SA9, SA9, SA8, R9, R8, SA3, SA2, SA2, R3, SA4]","[SA8, SA8, R9, R8, R0]"
"[4, 5, 9]","[SA5, SA3, SA4]","[R0, R0, R8, SA3, SA2, R3, SA5]","[SA4, SA4, R7, R8, R0]"
"[5, 4, 3, 1]","[SA3, SA5, SA1, SA2]","[R0, R0, R8, SA3, SA3, SA2, R3, SA5, SA5, R3, SA2, R2, SA1]","[SA2, SA2, SA3, R8, R0]"
"[2, 7, 9]","[SA3, SA2, SA4]","[R0, R0, R8, SA3, SA3, SA2, SA2, R3, SA4]","[SA4, SA4, R7, R8, R0]"
"[10, 3, 1]","[SA8, SA1, SA2]","[R0, R0, R8, R9, SA8, SA8, R9, R8, R1, SA1, SA1, R2, SA2]","[SA2, SA2, SA3, R8, R0]"
"[4, 5, 7, 7, 10]","[SA5, SA3, SA2, SA2, SA8]","[R0, R0, R8, SA3, SA2, R3, SA5]","[SA8, SA8, R9, R8, R0]"
"[9, 8, 5]","[SA4, SA6, SA3]","[R0, R0, R8, R7, SA4, SA4, R3, SA5, R4, SA6, SA6, R4, SA5, R3, SA2, SA3]","[SA3, SA3, R8, R0]"
"[4, 5, 9, 10]","[SA5, SA3, SA4, SA8]","[R0, R0, R8, SA3, SA2, R3, SA5]","[SA8, SA8, R9, R8, R0]"
"[8, 6, 4, 2]","[SA6, SA9, SA5, SA3]","[R0, R0, R8, R7, SA7, R5, SA6, SA6, R5, SA7, R6, SA8, SA9, SA9, SA8, R9, R7, SA4, R3, SA5, SA5, R3, SA2, SA3]","[SA3, SA3, R8, R0]"
"[9, 5, 1]","[SA4, SA3, SA2]","[R0, R0, R8, R7, SA4, SA4, R3, SA2, SA3]","[SA2, SA2, SA3, R8, R0]"
"[10, 5, 4]","[SA8, SA3, SA5]","[R0, R0, R8, R9, SA8, SA8, R9, R8, SA3, SA3, SA2, R3, SA5]","[SA5, SA5, R3, SA4, R7, R8, R0]"
"[1, 2, 9]","[SA2, SA3, SA4]","[R0, R0, R8, SA3, SA2]","[SA4, SA4, R7, R8, R0]"
"[1, 8]","[SA2, SA6]","[R0, R0, R8, SA3, SA2, SA2, R3, SA5, R4, SA6]","[SA6, SA6, R5, SA7, R7, R8, R0]"
"[2, 4, 8, 9, 10]","[SA3, SA5, SA6, SA4, SA8]","[R0, R0, R8, SA3, SA3, SA2, R3, SA5, SA5, R4, SA6, SA6, R4, SA5, R3, SA4, SA4, R7, R9, SA8]","[SA8, SA8, R9, R8, R0]"
"[2, 3, 4, 8]","[SA3, SA1, SA5, SA6]","[R0, R0, R8, SA3, SA3, R8, R1, SA1, SA1, R2, SA2, R3, SA5, SA5, R4, SA6]","[SA6, SA6, R5, SA7, R7, R8, R0]"
"[6, 7, 8, 10]","[SA9, SA2, SA6, SA8]","[R0, R0, R8, R9, SA8, SA9, SA9, SA8, R9, R8, SA3, SA2, SA2, R3, SA5, R4, SA6]","[SA8, SA8, R9, R8, R0]"
"[2, 4, 8]","[SA3, SA5, SA6]","[R0, R0, R8, SA3, SA3, SA2, R3, SA5, SA5, R4, SA6]","[SA6, SA6, R5, SA7, R7, R8, R0]"
"[10, 5, 4, 3]","[SA8, SA3, SA5, SA1]","[R0, R0, R8, R9, SA8, SA8, R9, R8, SA3, SA3, SA2, R3, SA5, SA5, R3, SA2, R2, SA1]","[SA1, SA1, R1, R0]"
"[1, 3, 4, 9, 10]","[SA2, SA1, SA5, SA4, SA8]","[R0, R0, R8, SA3, SA2, SA2, R2, SA1, SA1, R2, SA2, R3, SA5, SA5, R3, SA4, SA4, R7, R9, SA8]","[SA8, SA8, R9, R8, R0]"
"[10, 6, 4, 2]","[SA8, SA9, SA5, SA3]","[R0, R0, R8, R9, SA8, SA8, SA9, SA9, SA8, R9, R7, SA4, R3, SA5, SA5, R3, SA2, SA3]","[SA3, SA3, R8, R0]"
"[2, 3, 9]","[SA3, SA1, SA4]","[R0, R0, R8, SA3, SA3, R8, R1, SA1, SA1, R1, R8, R7, SA4]","[SA4, SA4, R7, R8, R0]"
"[9, 4, 3]","[SA4, SA5, SA1]","[R0, R0, R8, R7, SA4, SA4, R3, SA5, SA5, R3, SA2, R2, SA1]","[SA1, SA1, R1, R0]"
"[2, 10, 9, 3]","[SA3, SA8, SA4, SA1]","[R0, R0, R8, SA3, SA3, R8, R9, SA8, SA8, R9, R7, SA4, SA4, R3, SA2, R2, SA1]","[SA1, SA1, R1, R0]"
"[8, 7, 4, 3]","[SA6, SA2, SA5, SA1]","[R0, R0, R8, R7, SA7, R5, SA6, SA6, R4, SA5, R3, SA2]","[SA1, SA1, R1, R0]"
"[7, 4, 3]","[SA2, SA5, SA1]","[R0, R0, R8, SA3, SA2, SA2, R3, SA5, SA5, R3, SA2, R2, SA1]","[SA1, SA1, R1, R0]"
"[3, 6]","[SA1, SA9]","[R0, R0, R1, SA1, SA1, R1, R8, R9, SA8, SA9]","[SA9, SA9, SA8, R9, R8, R0]"
"[2, 3, 9, 9]","[SA3, SA1, SA4, SA4]","[R0, R0, R8, SA3, SA3, R8, R1, SA1, SA1, R1, R8, R7, SA4]","[SA4, SA4, R7, R8, R0]"
"[5, 1, 3, 9]","[SA3, SA2, SA1, SA4]","[R0, R0, R8, SA3, SA3, SA2, SA2, R2, SA1, SA1, R1, R8, R7, SA4]","[SA4, SA4, R7, R8, R0]"
"[1, 3, 9]","[SA2, SA1, SA4]","[R0, R0, R8, SA3, SA2, SA2, R2, SA1, SA1, R1, R8, R7, SA4]","[SA4, SA4, R7, R8, R0]"
"[2, 3, 6, 7]","[SA3, SA1, SA9, SA2]","[R0, R0, R8, SA3, SA3, R8, R1, SA1, SA1, R1, R8, R9, SA8, SA9, SA9, SA8, R9, R8, SA3, SA2]","[SA2, SA2, SA3, R8, R0]"
"[1, 3, 4]","[SA2, SA1, SA5]","[R0, R0, R8, SA3, SA2, SA2, R2, SA1, SA1, R2, SA2, R3, SA5]","[SA5, SA5, R3, SA4, R7, R8, R0]"
"[3, 5, 9, 10]","[SA1, SA3, SA4, SA8]","[R0, R0, R1, SA1, SA1, R1, R8, SA3, SA3, R8, R7, SA4, SA4, R7, R9, SA8]","[SA8, SA8, R9, R8, R0]"
"[1, 2, 10]","[SA2, SA3, SA8]","[R0, R0, R8, SA3, SA2]","[SA8, SA8, R9, R8, R0]"
"[3, 5, 6, 7, 8]","[SA1, SA3, SA9, SA2, SA6]","[R0, R0, R1, SA1, SA1, R1, R8, SA3, SA3, R8, R9, SA8, SA9, SA9, SA8, R9, R8, SA3, SA2, SA2, R3, SA5, R4, SA6]","[SA6, SA6, R5, SA7, R7, R8, R0]"
"[3, 5, 6, 7, 10]","[SA1, SA3, SA9, SA2, SA8]","[R0, R0, R1, SA1, SA1, R1, R8, SA3, SA3, R8, R9, SA8, SA9, SA9, SA8, R9, R8, SA3, SA2]","[SA8, SA8, R9, R8, R0]"
"[3, 4, 5, 9]","[SA1, SA5, SA3, SA4]","[R0, R0, R1, SA1, SA1, R2, SA2, R3, SA5, SA5, R3, SA2, SA3, SA3, R8, R7, SA4]","[SA4, SA4, R7, R8, R0]"
"[4, 3, 1]","[SA5, SA1, SA2]","[R0, R0, R8, SA3, SA2, R3, SA5, SA5, R3, SA2, R2, SA1]","[SA2, SA2, SA3, R8, R0]"
"[7, 4, 2]","[SA2, SA5, SA3]","[R0, R0, R8, SA3, SA2, SA2, R3, SA5]","[SA3, SA3, R8, R0]"
"[9, 8, 6, 4]","[SA4, SA6, SA9, SA5]","[R0, R0, R8, R7, SA4, SA4, R3, SA5, R4, SA6, SA6, R5, SA7, R6, SA8, SA9]","[SA5, SA5, R3, SA4, R7, R8, R0]"
"[1, 2, 6]","[SA2, SA3, SA9]","[R0, R0, R8, SA3, SA2]","[SA9, SA9, SA8, R9, R8, R0]"
"[10, 7]","[SA8, SA2]","[R0, R0, R8, R9, SA8, SA8, R9, R8, SA3, SA2]","[SA2, SA2, SA3, R8, R0]"
"[6, 2, 1]","[SA9, SA3, SA2]","[R0, R0, R8, R9, SA8, SA9, SA9, SA8, R9, R8, SA3, SA3, SA2]","[SA2, SA2, SA3, R8, R0]"
"[10, 9, 6, 1]","[SA8, SA4, SA9, SA2]","[R0, R0, R8, R9, SA8, SA8, R9, R7, SA4, SA4, R7, R9, SA8, SA9, SA9, SA8, R9, R8, SA3, SA2]","[SA2, SA2, SA3, R8, R0]"
"[2, 9]","[SA3, SA4]","[R0, R0, R8, SA3, SA3, R8, R7, SA4]","[SA4, SA4, R7, R8, R0]"
"[8, 6, 3, 2]","[SA6, SA9, SA1, SA3]","[R0, R0, R8, R7, SA7, R5, SA6, SA6, R5, SA7, R6, SA8, SA9, SA9, SA8, R9, R8, R1, SA1, SA1, R1, R8, SA3]","[SA3, SA3, R8, R0]"
"[3, 6, 9]","[SA1, SA9, SA4]","[R0, R0, R1, SA1, SA1, R1, R8, R9, SA8, SA9, SA9, SA8, R9, R7, SA4]","[SA4, SA4, R7, R8, R0]"
"[2, 9, 10]","[SA3, SA4, SA8]","[R0, R0, R8, SA3, SA3, R8, R7, SA4, SA4, R7, R9, SA8]","[SA8, SA8, R9, R8, R0]"
"[6, 7, 9]","[SA9, SA2, SA4]","[R0, R0, R8, R9, SA8, SA9, SA9, SA8, R9, R8, SA3, SA2, SA2, R3, SA4]","[SA4, SA4, R7, R8, R0]"
"[8, 7]","[SA6, SA2]","[R0, R0, R8, R7, SA7, R5, SA6, SA6, R4, SA5, R3, SA2]","[SA2, SA2, SA3, R8, R0]"
"[5, 7, 8, 10]","[SA3, SA2, SA6, SA8]","[R0, R0, R8, SA3, SA3, SA2, SA2, R3, SA5, R4, SA6, SA6, R5, SA7, R6, SA8]","[SA8, SA8, R9, R8, R0]"
"[10, 9, 8, 7, 3]","[SA8, SA4, SA6, SA2, SA1]","[R0, R0, R8, R9, SA8, SA8, R9, R7, SA4, SA4, R3, SA5, R4, SA6, SA6, R4, SA5, R3, SA2, SA2, R2, SA1]","[SA1, SA1, R1, R0]"
"[4, 5, 7, 10]","[SA5, SA3, SA2, SA8]","[R0, R0, R8, SA3, SA2, R3, SA5]","[SA8, SA8, R9, R8, R0]"
"[4, 3, 2]","[SA5, SA1, SA3]","[R0, R0, R8, SA3, SA2, R3, SA5, SA5, R3, SA2, R2, SA1]","[SA3, SA3, R8, R0]"
"[10, 8, 6, 4, 2]","[SA8, SA6, SA9, SA5, SA3]","[R0, R0, R8, R9, SA8, SA8, R6, SA7, R5, SA6, SA6, R5, SA7, R6, SA8, SA9, SA9, SA8, R9, R7, SA4, R3, SA5, SA5, R3, SA2, SA3]","[SA3, SA3, R8, R0]"
"[8, 3, 2]","[SA6, SA1, SA3]","[R0, R0, R8, R7, SA7, R5, SA6, SA6, R4, SA5, R3, SA2, R2, SA1, SA1, R1, R8, SA3]","[SA3, SA3, R8, R0]"
"[2, 6, 7, 10]","[SA3, SA9, SA2, SA8]","[R0, R0, R8, SA3, SA3, R8, R9, SA8, SA9, SA9, SA8, R9, R8, SA3, SA2]","[SA8, SA8, R9, R8, R0]"
"[8, 7, 6, 3, 2]","[SA6, SA2, SA9, SA1, SA3]","[R0, R0, R8, R7, SA7, R5, SA6, SA6, R4, SA5, R3, SA2, SA2, SA3, R8, R9, SA8, SA9, SA9, SA8, R9, R8, R1, SA1]","[SA3, SA3, R8, R0]"
"[5, 7, 8, 10]","[SA3, SA2, SA6, SA8]","[R0, R0, R8, SA3, SA3, SA2, SA2, R3, SA5, R4, SA6, SA6, R5, SA7, R6, SA8]","[SA8, SA8, R9, R8, R0]"
"[7, 10]","[SA2, SA8]","[R0, R0, R8, SA3, SA2, SA2, SA3, R8, R9, SA8]","[SA8, SA8, R9, R8, R0]"
"[3, 5, 6, 8]","[SA1, SA3, SA9, SA6]","[R0, R0, R1, SA1, SA1, R1, R8, SA3, SA3, R8, R9, SA8, SA9, SA9, SA8, R6, SA7, R5, SA6]","[SA6, SA6, R5, SA7, R7, R8, R0]"
"[5, 6, 10]","[SA3, SA9, SA8]","[R0, R0, R8, SA3, SA3, R8, R9, SA8, SA9]","[SA8, SA8, R9, R8, R0]"
"[2, 3, 4, 10]","[SA3, SA1, SA5, SA8]","[R0, R0, R8, SA3, SA3, R8, R1, SA1, SA1, R2, SA2, R3, SA5, SA5, R3, SA4, R7, R9, SA8]","[SA8, SA8, R9, R8, R0]"
"[9, 6, 4]","[SA4, SA9, SA5]","[R0, R0, R8, R7, SA4, SA4, R7, R9, SA8, SA9, SA9, SA8, R9, R7, SA4, R3, SA5]","[SA5, SA5, R3, SA4, R7, R8, R0]"
"[9, 6, 5, 3, 1]","[SA4, SA9, SA3, SA1, SA2]","[R0, R0, R8, R7, SA4, SA4, R7, R9, SA8, SA9, SA9, SA8, R9, R8, SA3, SA3, R8, R1, SA1, SA1, R2, SA2]","[SA2, SA2, SA3, R8, R0]"
"[1, 3, 6]","[SA2, SA1, SA9]","[R0, R0, R8, SA3, SA2, SA2, R2, SA1, SA1, R1, R8, R9, SA8, SA9]","[SA9, SA9, SA8, R9, R8, R0]"
"[10, 9, 8, 7]","[SA8, SA4, SA6, SA2]","[R0, R0, R8, R9, SA8, SA8, R9, R7, SA4, SA4, R3, SA5, R4, SA6, SA6, R4, SA5, R3, SA2]","[SA2, SA2, SA3, R8, R0]"
"[1, 2, 8]","[SA2, SA3, SA6]","[R0, R0, R8, SA3, SA2]","[SA6, SA6, R5, SA7, R7, R8, R0]"
"[1, 4, 8, 9]","[SA2, SA5, SA6, SA4]","[R0, R0, R8, SA3, SA2, SA2, R3, SA5, SA5, R4, SA6, SA6, R4, SA5, R3, SA4]","[SA4, SA4, R7, R8, R0]"
"[5, 8, 10]","[SA3, SA6, SA8]","[R0, R0, R8, SA3, SA3, R8, R7, SA7, R5, SA6, SA6, R5, SA7, R6, SA8]","[SA8, SA8, R9, R8, R0]"
"[3, 7, 8, 10]","[SA1, SA2, SA6, SA8]","[R0, R0, R1, SA1, SA1, R2, SA2, SA2, R3, SA5, R4, SA6, SA6, R5, SA7, R6, SA8]","[SA8, SA8, R9, R8, R0]"
"[1, 3, 5, 9]","[SA2, SA1, SA3, SA4]","[R0, R0, R8, SA3, SA2, SA2, R2, SA1]","[SA4, SA4, R7, R8, R0]"
"[10, 9, 1]","[SA8, SA4, SA2]","[R0, R0, R8, R9, SA8, SA8, R9, R7, SA4, SA4, R3, SA2]","[SA2, SA2, SA3, R8, R0]"
"[8, 5]","[SA6, SA3]","[R0, R0, R8, R7, SA7, R5, SA6, SA6, R4, SA5, R3, SA2, SA3]","[SA3, SA3, R8, R0]"
"[2, 3, 7]","[SA3, SA1, SA2]","[R0, R0, R8, SA3, SA3, R8, R1, SA1, SA1, R2, SA2]","[SA2, SA2, SA3, R8, R0]"
"[9, 6, 5, 3, 1]","[SA4, SA9, SA3, SA1, SA2]","[R0, R0, R8, R7, SA4, SA4, R7, R9, SA8, SA9, SA9, SA8, R9, R8, SA3, SA3, R8, R1, SA1, SA1, R2, SA2]","[SA2, SA2, SA3, R8, R0]"
"[1, 3, 8]","[SA2, SA1, SA6]","[R0, R0, R8, SA3, SA2, SA2, R2, SA1, SA1, R1, R8, R7, SA7, R5, SA6]","[SA6, SA6, R5, SA7, R7, R8, R0]"
"[9, 8, 7, 4, 2]","[SA4, SA6, SA2, SA5, SA3]","[R0, R0, R8, R7, SA4, SA4, R3, SA5, R4, SA6, SA6, R4, SA5, R3, SA2]","[SA3, SA3, R8, R0]"
"[2, 3, 4, 8, 9]","[SA3, SA1, SA5, SA6, SA4]","[R0, R0, R8, SA3, SA3, R8, R1, SA1, SA1, R2, SA2, R3, SA5, SA5, R4, SA6, SA6, R4, SA5, R3, SA4]","[SA4, SA4, R7, R8, R0]"
"[2, 3, 4, 7]","[SA3, SA1, SA5, SA2]","[R0, R0, R8, SA3, SA3, R8, R1, SA1, SA1, R2, SA2, R3, SA5]","[SA2, SA2, SA3, R8, R0]"
"[1, 4, 6, 8]","[SA2, SA5, SA9, SA6]","[R0, R0, R8, SA3, SA2, SA2, R3, SA5, SA5, R3, SA4, R7, R9, SA8, SA9, SA9, SA8, R6, SA7, R5, SA6]","[SA6, SA6, R5, SA7, R7, R8, R0]"
"[9, 2, 1]","[SA4, SA3, SA2]","[R0, R0, R8, R7, SA4, SA4, R3, SA2, SA3]","[SA2, SA2, SA3, R8, R0]"
"[6, 7, 9, 10]","[SA9, SA2, SA4, SA8]","[R0, R0, R8, R9, SA8, SA9, SA9, SA8, R9, R8, SA3, SA2, SA2, R3, SA4]","[SA8, SA8, R9, R8, R0]"
"[5, 6, 7]","[SA3, SA9, SA2]","[R0, R0, R8, SA3, SA3, R8, R9, SA8, SA9, SA9, SA8, R9, R8, SA3, SA2]","[SA2, SA2, SA3, R8, R0]"
"[3, 4]","[SA1, SA5]","[R0, R0, R1, SA1, SA1, R2, SA2, R3, SA5]","[SA5, SA5, R3, SA4, R7, R8, R0]"
"[8, 5, 1]","[SA6, SA3, SA2]","[R0, R0, R8, R7, SA7, R5, SA6, SA6, R4, SA5, R3, SA2, SA3]","[SA2, SA2, SA3, R8, R0]"
"[9, 3, 2]","[SA4, SA1, SA3]","[R0, R0, R8, R7, SA4, SA4, R3, SA2, R2, SA1, SA1, R1, R8, SA3]","[SA3, SA3, R8, R0]"
"[8, 7, 5]","[SA6, SA2, SA3]","[R0, R0, R8, R7, SA7, R5, SA6, SA6, R4, SA5, R3, SA2, SA2, SA3]","[SA3, SA3, R8, R0]"
"[2, 3, 8]","[SA3, SA1, SA6]","[R0, R0, R8, SA3, SA3, R8, R1, SA1, SA1, R1, R8, R7, SA7, R5, SA6]","[SA6, SA6, R5, SA7, R7, R8, R0]"
"[10, 8, 5, 4]","[SA8, SA6, SA3, SA5]","[R0, R0, R8, R9, SA8, SA8, R6, SA7, R5, SA6, SA6, R4, SA5, R3, SA2, SA3]","[SA5, SA5, R3, SA4, R7, R8, R0]"
"[5, 1]","[SA3, SA2]","[R0, R0, R8, SA3, SA3, SA2]","[SA2, SA2, SA3, R8, R0]"
"[8, 5, 4, 3, 1]","[SA6, SA3, SA5, SA1, SA2]","[R0, R0, R8, R7, SA7, R5, SA6, SA6, R4, SA5, R3, SA2, SA3]","[SA2, SA2, SA3, R8, R0]"
"[3, 4, 5, 9]","[SA1, SA5, SA3, SA4]","[R0, R0, R1, SA1, SA1, R2, SA2, R3, SA5, SA5, R3, SA2, SA3, SA3, R8, R7, SA4]","[SA4, SA4, R7, R8, R0]"
"[1, 3, 8]","[SA2, SA1, SA6]","[R0, R0, R8, SA3, SA2, SA2, R2, SA1, SA1, R1, R8, R7, SA7, R5, SA6]","[SA6, SA6, R5, SA7, R7, R8, R0]"
